"","Name","Subtitle","Acceleration(sec)","TopSpeed(km/h)","Range(km)","Efficiency(Wh/km)","FastChargeSpeed(km/h)","Drive","NumberofSeats","PriceinGermany(â,¬)","PriceinUK(Â£)"
"26","Tesla Model Y Performance","Battery Electric Vehicle |       76 kWh ",3.7,241,430,177,720,"All Wheel Drive",7,NA,60000
"27","Porsche Taycan 4 Cross Turismo","Battery Electric Vehicle |       83.7 kWh",5.1,220,405,207,850,"All Wheel Drive",4,NA,79340
"28","Skoda Enyaq iV 50","Battery Electric Vehicle |       52 kWh",11.3,160,295,176,240,"Rear Wheel Drive",5,NA,NA
"29","Volkswagen e-Up! ","Battery Electric Vehicle |       32.3 kWh",11.9,130,205,158,170,"Front Wheel Drive",4,NA,NA
"30","SEAT Mii Electric ","Battery Electric Vehicle |       32.3 kWh",12.3,130,205,158,170,"Front Wheel Drive",4,NA,NA
"31","Opel Corsa-e ","Battery Electric Vehicle |       45 kWh ",8.1,150,275,164,370,"Front Wheel Drive",5,NA,27140
"32","MG ZS EV","Battery Electric Vehicle |       42.5 kWh ",8.2,140,220,193,260,"Front Wheel Drive",5,NA,25995
"33","Volkswagen ID.3 Pro","Battery Electric Vehicle |       58 kWh",9.6,160,350,166,440,"Rear Wheel Drive",5,NA,28420
"34","Volkswagen ID.3 Pro S","Battery Electric Vehicle |       77 kWh",7.9,160,450,171,550,"Rear Wheel Drive",4,NA,38800
"35","Hyundai Kona Electric 64 kWh","Battery Electric Vehicle |       64 kWh",7.9,167,395,162,370,"Front Wheel Drive",5,NA,NA
"36","Renault Zoe ZE50 R135","Battery Electric Vehicle |       52 kWh",9.5,140,310,168,230,"Front Wheel Drive",5,NA,28795
"37","Peugeot e-2008 SUV ","Battery Electric Vehicle |       45 kWh ",8.5,150,250,180,330,"Front Wheel Drive",5,NA,30730
"38","Audi e-tron 50 quattro","Battery Electric Vehicle |       64.7 kWh",6.8,190,280,231,470,"All Wheel Drive",5,NA,60600
"39","Porsche Taycan Turbo","Battery Electric Vehicle |       83.7 kWh",3.2,260,400,209,840,"All Wheel Drive",4,NA,115860
"40","Smart EQ fortwo coupe","Battery Electric Vehicle |       16.7 kWh ",11.6,130,100,167,NA,"Rear Wheel Drive",2,NA,19200
"41","Smart EQ fortwo cabrio","Battery Electric Vehicle |       16.7 kWh ",11.9,130,95,176,NA,"Rear Wheel Drive",2,NA,21620
"42","Smart EQ forfour ","Battery Electric Vehicle |       16.7 kWh ",12.7,130,95,176,NA,"Rear Wheel Drive",4,NA,19795
"43","Honda e Advance","Battery Electric Vehicle |       28.5 kWh ",8.3,145,170,168,190,"Rear Wheel Drive",4,NA,30160
"44","Byton M-Byte 72 kWh 2WD","Battery Electric Vehicle |       72 kWh ",7.5,190,325,222,420,"Rear Wheel Drive",5,NA,50000
"45","Byton M-Byte 95 kWh 4WD","Battery Electric Vehicle |       95 kWh ",5.5,190,390,244,460,"All Wheel Drive",5,NA,60000
"46","Renault Zoe ZE40 R110","Battery Electric Vehicle |       41 kWh",11.4,135,255,161,230,"Front Wheel Drive",5,NA,NA
"47","Porsche Taycan 4S","Battery Electric Vehicle |       71 kWh",4,250,375,189,750,"All Wheel Drive",4,NA,83580
"48","Porsche Taycan 4S Plus","Battery Electric Vehicle |       83.7 kWh",4,250,435,192,910,"All Wheel Drive",4,NA,88193
"49","Hyundai Kona Electric 39 kWh","Battery Electric Vehicle |       39.2 kWh",9.9,155,250,157,210,"Front Wheel Drive",5,NA,NA
"50","Mercedes EQV 300 Long","Battery Electric Vehicle |       90 kWh",12.1,160,320,281,280,"Front Wheel Drive",7,NA,70665
"51","Mazda MX-30 ","Battery Electric Vehicle |       30 kWh ",9.7,140,170,176,180,"Front Wheel Drive",5,NA,26045
"52","Ford Mustang Mach-E SR RWD","Battery Electric Vehicle |       68 kWh",6.9,180,345,197,380,"Rear Wheel Drive",5,NA,41330
"53","Ford Mustang Mach-E ER RWD","Battery Electric Vehicle |       88 kWh",7,180,440,200,430,"Rear Wheel Drive",5,NA,49980
"54","Ford Mustang Mach-E SR AWD","Battery Electric Vehicle |       68 kWh",6.3,180,330,206,360,"All Wheel Drive",5,NA,46650
"55","Ford Mustang Mach-E ER AWD","Battery Electric Vehicle |       88 kWh",5.8,180,420,210,410,"All Wheel Drive",5,NA,57030
"56","Ford Mustang Mach-E GT","Battery Electric Vehicle |       88 kWh",4.4,200,410,215,400,"All Wheel Drive",5,NA,67225
"57","Audi e-tron Sportback 50 quattro","Battery Electric Vehicle |       64.7 kWh",6.8,190,295,219,490,"All Wheel Drive",5,NA,69100
"58","Tesla Cybertruck Single Motor","Battery Electric Vehicle |       100 kWh ",7,180,390,256,740,"Rear Wheel Drive",7,NA,39000
"59","Tesla Cybertruck Dual Motor","Battery Electric Vehicle |       120 kWh ",5,190,460,261,710,"All Wheel Drive",7,NA,48000
"60","Tesla Cybertruck Tri Motor","Battery Electric Vehicle |       200 kWh ",3,210,750,267,710,"All Wheel Drive",7,NA,68000
"61","Lexus UX 300e","Battery Electric Vehicle |       50 kWh ",7.5,160,260,192,150,"Front Wheel Drive",5,NA,43900
"62","BMW i4 eDrive40","Battery Electric Vehicle |       80.7 kWh",5.7,190,475,170,660,"Rear Wheel Drive",5,NA,51905
"63","Audi e-tron 55 quattro","Battery Electric Vehicle |       86.5 kWh",5.7,200,365,237,590,"All Wheel Drive",5,NA,71500
"64","Aiways U5 ","Battery Electric Vehicle |       63 kWh ",7.5,150,335,188,350,"Front Wheel Drive",5,NA,NA
"65","Renault Twingo Electric","Battery Electric Vehicle |       21.3 kWh",12.6,135,130,164,NA,"Rear Wheel Drive",4,NA,NA
"66","Audi e-tron S 55 quattro","Battery Electric Vehicle |       86.5 kWh",4.5,210,320,270,510,"All Wheel Drive",5,NA,87000
"67","Audi e-tron S Sportback 55 quattro","Battery Electric Vehicle |       86.5 kWh",4.5,210,335,258,540,"All Wheel Drive",5,NA,88700
"68","Volkswagen ID.4 1st","Battery Electric Vehicle |       77 kWh",8.5,160,410,188,500,"Rear Wheel Drive",5,NA,40800
"69","Byton M-Byte 95 kWh 2WD","Battery Electric Vehicle |       95 kWh ",7.5,190,400,238,480,"Rear Wheel Drive",5,NA,57500
"70","Fiat 500e Cabrio","Battery Electric Vehicle |       37.3 kWh ",9,150,245,152,410,"Front Wheel Drive",4,NA,26645
"71","Opel Mokka-e ","Battery Electric Vehicle |       45 kWh ",8.5,150,255,176,340,"Front Wheel Drive",5,NA,30540
"72","Skoda Enyaq iV 60","Battery Electric Vehicle |       58 kWh",8.7,160,330,176,420,"Rear Wheel Drive",5,NA,31995
"73","Skoda Enyaq iV 80","Battery Electric Vehicle |       77 kWh",8.6,160,420,183,510,"Rear Wheel Drive",5,NA,39350
"74","Skoda Enyaq iV 80X","Battery Electric Vehicle |       77 kWh",6.9,160,405,190,500,"All Wheel Drive",5,NA,42000
"75","Skoda Enyaq iV RS","Battery Electric Vehicle |       77 kWh",6.2,180,395,195,480,"All Wheel Drive",5,NA,45000
"76","Fiat 500e Hatchback 42 kWh","Battery Electric Vehicle |       37.3 kWh ",9,150,250,149,420,"Front Wheel Drive",4,NA,23995
